Campaign_ID,Campaign_Name,Platform,Objective,Ad_Type,Audience_Age,Audience_Gender,Device,Country,Date,Week,Month,Quarter,Year,Impressions,Reach,Clicks,Spend,Conversions,Revenue,CTR,CPC,CPM,Conversion_Rate,CPA,ROAS,ROI
CID1069,New Product Launch,Facebook,Awareness,Carousel,18-24,Male,Desktop,USA,2024-07-21,29,7,3,2024,19890,9741,1451,84.51,64,2549.29,7.3,0.06,4.25,4.41,1.32,30.17,2916.55
CID1070,Website Traffic Growth,Instagram,Traffic,Video,18-24,Mixed,Mobile,USA,2024-04-08,15,4,2,2024,23088,14402,1466,258.86,265,33171.34,6.35,0.18,11.21,18.08,0.98,128.14,12714.39
CID1071,Holiday Mega Sale,Instagram,Awareness,Video,18-24,Male,Mobile,USA,2024-11-05,45,11,4,2024,2795,2481,24,482.58,5,560.29,0.86,20.11,172.66,20.83,96.52,1.16,16.1
CID1072,New Product Launch,Facebook,Leads,Image,25-34,Female,Mobile,USA,2024-04-05,14,4,2,2024,40719,29928,2029,10.32,91,11346.88,4.98,0.01,0.25,4.48,0.11,1099.5,109850.39
CID1073,Website Traffic Growth,Instagram,Leads,Image,25-34,Mixed,Mobile,USA,2024-02-15,7,2,1,2024,37215,22688,282,17.81,53,2365.19,0.76,0.06,0.48,18.79,0.34,132.8,13180.12
CID1074,Brand Awareness Boost,Facebook,Awareness,Carousel,18-24,Female,Desktop,USA,2024-01-18,3,1,1,2024,45338,18162,791,448.88,74,4115.79,1.74,0.57,9.9,9.36,6.07,9.17,816.9
CID1075,Retargeting Strategy,Facebook,Traffic,Carousel,35-44,Female,Desktop,USA,2024-10-11,41,10,4,2024,45122,37326,2711,98.78,193,20494.56,6.01,0.04,2.19,7.12,0.51,207.48,20647.68
CID1076,Lead Generation Max,Instagram,Sales,Carousel,18-24,Male,Mobile,USA,2024-06-19,25,6,2,2024,12037,8003,301,34.87,34,1859.68,2.5,0.12,2.9,11.3,1.03,53.33,5233.18
CID1077,New Product Launch,Instagram,Sales,Video,18-24,Male,Desktop,USA,2024-07-01,27,7,3,2024,31138,20858,2422,64.27,191,10771.28,7.78,0.03,2.06,7.89,0.34,167.59,16659.42
CID1078,Brand Awareness Boost,Facebook,Awareness,Carousel,35-44,Male,Mobile,USA,2024-09-15,37,9,3,2024,23980,13145,169,388.7,6,353.55,0.7,2.3,16.21,3.55,64.78,0.91,-9.04
CID1079,Website Traffic Growth,Instagram,Sales,Carousel,25-34,Mixed,Desktop,USA,2024-03-30,13,3,1,2024,9493,8103,713,99.3,73,10833.03,7.51,0.14,10.46,10.24,1.36,109.09,10809.4
CID1080,Holiday Mega Sale,Facebook,Sales,Story,18-24,Female,Desktop,USA,2024-05-02,18,5,2,2024,34107,27050,1646,203.02,322,32174.04,4.83,0.12,5.95,19.56,0.63,158.48,15747.72
CID1081,Lead Generation Max,Instagram,Awareness,Carousel,25-34,Female,Desktop,USA,2024-08-04,31,8,3,2024,32883,17148,2392,26.48,556,54526.64,7.27,0.01,0.81,23.24,0.05,2059.16,205816.31
CID1082,Lead Generation Max,Instagram,Sales,Story,35-44,Female,Desktop,USA,2024-02-29,9,2,1,2024,33610,15503,1079,64.45,154,13682.39,3.21,0.06,1.92,14.27,0.42,212.29,21129.46
CID1083,Retargeting Strategy,Instagram,Leads,Carousel,18-24,Female,Mobile,USA,2024-05-31,22,5,2,2024,27444,12981,1861,428.61,354,47786.03,6.78,0.23,15.62,19.02,1.21,111.49,11049.07
CID1084,Holiday Mega Sale,Instagram,Sales,Carousel,18-24,Female,Mobile,USA,2024-06-17,25,6,2,2024,15941,7882,538,333.43,104,9862.71,3.37,0.62,20.92,19.33,3.21,29.58,2857.96
CID1085,Brand Awareness Boost,Facebook,Traffic,Video,18-24,Female,Mobile,USA,2024-09-13,37,9,3,2024,45657,30583,2452,325.14,493,46597.57,5.37,0.13,7.12,20.11,0.66,143.32,14231.54
CID1086,Website Traffic Growth,Instagram,Awareness,Carousel,18-24,Male,Mobile,USA,2024-11-16,46,11,4,2024,26787,16425,424,176.82,35,4617.59,1.58,0.42,6.6,8.25,5.05,26.11,2511.46
CID1087,Retargeting Strategy,Facebook,Leads,Carousel,35-44,Female,Mobile,USA,2024-05-04,18,5,2,2024,30476,26183,200,459.24,17,1272.5,0.66,2.3,15.07,8.5,27.01,2.77,177.09
CID1088,Lead Generation Max,Instagram,Awareness,Video,25-34,Mixed,Desktop,USA,2024-05-05,18,5,2,2024,5753,3962,223,358.61,13,530.93,3.88,1.61,62.33,5.83,27.59,1.48,48.05
CID1089,Summer Promo Blast,Facebook,Traffic,Image,18-24,Female,Desktop,USA,2024-07-23,30,7,3,2024,47456,19482,614,151.0,51,5326.28,1.29,0.25,3.18,8.31,2.96,35.27,3427.34
CID1090,Brand Awareness Boost,Facebook,Sales,Image,18-24,Male,Desktop,USA,2024-09-22,38,9,3,2024,31824,23260,2281,31.75,559,72980.76,7.17,0.01,1.0,24.51,0.06,2298.61,229760.66
CID1091,Website Traffic Growth,Instagram,Sales,Story,18-24,Mixed,Desktop,USA,2024-03-31,13,3,1,2024,4393,2605,164,279.32,16,994.47,3.73,1.7,63.58,9.76,17.46,3.56,256.03
CID1092,Retargeting Strategy,Facebook,Leads,Image,35-44,Male,Desktop,USA,2024-03-22,12,3,1,2024,8547,4428,228,49.03,20,2992.68,2.67,0.22,5.74,8.77,2.45,61.04,6003.77
CID1093,Holiday Mega Sale,Instagram,Leads,Carousel,35-44,Female,Desktop,USA,2024-10-06,40,10,4,2024,26425,11989,1262,263.68,126,13583.8,4.78,0.21,9.98,9.98,2.09,51.52,5051.62
CID1094,Conversion Accelerator,Facebook,Leads,Image,25-34,Male,Mobile,USA,2024-08-13,33,8,3,2024,43865,34351,2971,324.76,475,62898.22,6.77,0.11,7.4,15.99,0.68,193.68,19267.6
CID1095,Lead Generation Max,Facebook,Leads,Image,18-24,Female,Mobile,USA,2024-03-25,13,3,1,2024,47975,25038,1045,148.15,67,6030.54,2.18,0.14,3.09,6.41,2.21,40.71,3970.56
CID1096,Lead Generation Max,Facebook,Traffic,Story,25-34,Female,Desktop,USA,2024-01-11,2,1,1,2024,4160,2989,239,275.56,15,810.53,5.75,1.15,66.24,6.28,18.37,2.94,194.14
CID1097,Lead Generation Max,Facebook,Traffic,Image,35-44,Female,Desktop,USA,2024-08-18,33,8,3,2024,19880,13747,695,335.74,73,10731.14,3.5,0.48,16.89,10.5,4.6,31.96,3096.26
CID1098,Holiday Mega Sale,Instagram,Leads,Video,25-34,Male,Desktop,USA,2024-04-26,17,4,2,2024,22303,19372,1212,383.27,253,26354.9,5.43,0.32,17.18,20.87,1.51,68.76,6776.33
CID1099,Retargeting Strategy,Instagram,Awareness,Video,25-34,Mixed,Desktop,USA,2024-03-12,11,3,1,2024,36229,20743,2544,113.75,504,42519.86,7.02,0.04,3.14,19.81,0.23,373.8,37280.1
CID1100,Website Traffic Growth,Instagram,Awareness,Story,25-34,Female,Mobile,USA,2024-01-10,2,1,1,2024,22718,18256,1599,320.57,186,24587.57,7.04,0.2,14.11,11.63,1.72,76.7,7569.95
CID1101,Summer Promo Blast,Facebook,Awareness,Carousel,35-44,Mixed,Mobile,USA,2024-06-09,23,6,2,2024,29460,15576,314,73.09,48,6513.14,1.07,0.23,2.48,15.29,1.52,89.11,8811.12
CID1102,Brand Awareness Boost,Facebook,Sales,Image,25-34,Male,Desktop,USA,2024-10-10,41,10,4,2024,33649,26247,2012,353.23,73,4277.61,5.98,0.18,10.5,3.63,4.84,12.11,1111.0
CID1103,Website Traffic Growth,Instagram,Awareness,Story,18-24,Male,Desktop,USA,2024-06-26,26,6,2,2024,11259,10014,56,432.64,11,1259.44,0.5,7.73,38.43,19.64,39.33,2.91,191.11
CID1104,Conversion Accelerator,Instagram,Leads,Video,35-44,Female,Mobile,USA,2024-04-29,18,4,2,2024,30246,23144,1936,481.04,42,3443.64,6.4,0.25,15.9,2.17,11.45,7.16,615.87
CID1105,New Product Launch,Facebook,Sales,Carousel,35-44,Male,Desktop,USA,2024-12-02,49,12,4,2024,29541,15296,1974,81.32,81,2807.34,6.68,0.04,2.75,4.1,1.0,34.52,3352.21
CID1106,Website Traffic Growth,Facebook,Sales,Story,35-44,Female,Desktop,USA,2024-05-31,22,5,2,2024,30903,18827,1835,42.75,142,6403.55,5.94,0.02,1.38,7.74,0.3,149.79,14879.06
CID1107,Summer Promo Blast,Facebook,Awareness,Image,18-24,Mixed,Desktop,USA,2024-07-18,29,7,3,2024,31067,26748,503,195.31,33,3029.42,1.62,0.39,6.29,6.56,5.92,15.51,1451.08
CID1108,Website Traffic Growth,Instagram,Traffic,Video,25-34,Male,Mobile,USA,2024-08-07,32,8,3,2024,37516,19041,234,315.81,27,2095.71,0.62,1.35,8.42,11.54,11.7,6.64,563.6
CID1109,New Product Launch,Facebook,Awareness,Image,35-44,Female,Desktop,USA,2024-08-14,33,8,3,2024,46152,40325,3293,371.33,384,18784.43,7.14,0.11,8.05,11.66,0.97,50.59,4958.69
CID1110,Holiday Mega Sale,Facebook,Leads,Image,25-34,Male,Mobile,USA,2024-07-26,30,7,3,2024,11283,5842,108,466.62,10,514.7,0.96,4.32,41.36,9.26,46.66,1.1,10.3
CID1111,Website Traffic Growth,Instagram,Traffic,Video,25-34,Male,Desktop,USA,2024-08-04,31,8,3,2024,48337,26763,3294,312.65,436,10585.31,6.81,0.09,6.47,13.24,0.72,33.86,3285.67
CID1112,Holiday Mega Sale,Facebook,Leads,Video,35-44,Mixed,Mobile,USA,2024-07-18,29,7,3,2024,12175,8313,886,210.11,190,6607.22,7.28,0.24,17.26,21.44,1.11,31.45,3044.65
CID1113,Retargeting Strategy,Instagram,Traffic,Carousel,18-24,Male,Desktop,USA,2024-10-04,40,10,4,2024,49989,34802,2866,334.21,533,51705.09,5.73,0.12,6.69,18.6,0.63,154.71,15370.84
CID1114,Summer Promo Blast,Instagram,Leads,Video,25-34,Female,Mobile,USA,2024-08-05,32,8,3,2024,1435,1139,28,154.41,1,47.17,1.95,5.51,107.6,3.57,154.41,0.31,-69.45
CID1115,New Product Launch,Facebook,Sales,Image,35-44,Male,Mobile,USA,2024-05-24,21,5,2,2024,30855,26252,1391,483.27,152,20826.34,4.51,0.35,15.66,10.93,3.18,43.09,4209.46
CID1116,Conversion Accelerator,Instagram,Sales,Image,18-24,Mixed,Desktop,USA,2024-08-07,32,8,3,2024,48250,20115,3580,407.8,512,32261.84,7.42,0.11,8.45,14.3,0.8,79.11,7811.19
CID1117,Holiday Mega Sale,Instagram,Traffic,Carousel,35-44,Mixed,Mobile,USA,2024-06-02,22,6,2,2024,39915,24603,2463,495.96,577,31155.09,6.17,0.2,12.43,23.43,0.86,62.82,6181.77
CID1118,New Product Launch,Facebook,Awareness,Video,35-44,Male,Mobile,USA,2024-09-07,36,9,3,2024,6159,2635,393,91.6,14,1685.98,6.38,0.23,14.87,3.56,6.54,18.41,1740.59
CID1119,Summer Promo Blast,Facebook,Traffic,Image,18-24,Male,Desktop,USA,2024-11-29,48,11,4,2024,1731,1329,85,199.47,14,2073.22,4.91,2.35,115.23,16.47,14.25,10.39,939.36
CID1120,New Product Launch,Instagram,Sales,Story,25-34,Mixed,Mobile,USA,2024-04-05,14,4,2,2024,6889,5303,415,280.77,66,4946.64,6.02,0.68,40.76,15.9,4.25,17.62,1661.81
CID1121,Holiday Mega Sale,Facebook,Leads,Story,25-34,Mixed,Desktop,USA,2024-06-10,24,6,2,2024,14157,10593,192,150.32,21,2497.51,1.36,0.78,10.62,10.94,7.16,16.61,1561.46
CID1122,Holiday Mega Sale,Instagram,Awareness,Story,18-24,Female,Mobile,USA,2024-08-18,33,8,3,2024,28495,11846,1068,80.88,25,3199.45,3.75,0.08,2.84,2.34,3.24,39.56,3855.8
CID1123,Conversion Accelerator,Facebook,Awareness,Story,18-24,Male,Mobile,USA,2024-09-13,37,9,3,2024,4346,2098,303,354.31,37,3551.51,6.97,1.17,81.53,12.21,9.58,10.02,902.37
CID1124,Holiday Mega Sale,Facebook,Traffic,Image,25-34,Male,Desktop,USA,2024-11-02,44,11,4,2024,30004,22732,671,99.82,82,3485.16,2.24,0.15,3.33,12.22,1.22,34.91,3391.44
CID1125,Retargeting Strategy,Instagram,Awareness,Story,25-34,Mixed,Mobile,USA,2024-02-11,6,2,1,2024,19479,16131,105,247.73,16,571.32,0.54,2.36,12.72,15.24,15.48,2.31,130.62
CID1126,Retargeting Strategy,Instagram,Awareness,Image,18-24,Female,Desktop,USA,2024-10-27,43,10,4,2024,19282,16607,646,326.81,80,8115.91,3.35,0.51,16.95,12.38,4.09,24.83,2383.37
CID1127,Lead Generation Max,Instagram,Awareness,Video,18-24,Mixed,Desktop,USA,2024-09-20,38,9,3,2024,19250,14482,683,137.73,163,5136.3,3.55,0.2,7.15,23.87,0.84,37.29,3629.25
CID1128,Summer Promo Blast,Facebook,Leads,Story,35-44,Mixed,Desktop,USA,2024-07-24,30,7,3,2024,6587,2764,147,428.99,5,744.87,2.23,2.92,65.13,3.4,85.8,1.74,73.63
